대여소_ID,위도,경도,동
ST-405,37.583008,127.060974,전농동
ST-404,37.591614,127.045792,청량리동
ST-403,37.5909,127.042587,청량리동
ST-402,37.587517,127.052773,청량리동
ST-401,37.59602,127.05983,이문동
ST-400,37.580498,127.044724,청량리동
ST-40,37.559177,126.934525,창천동
ST-4,37.555649,126.910629,서교동
ST-399,37.581047,127.046135,청량리동
ST-398,37.568184,127.051277,답십리동
ST-397,37.574852,127.040306,용두동
ST-396,37.586777,127.067642,휘경동
ST-395,37.578632,127.071907,장안동
ST-394,37.561153,127.070969,장안동
ST-393,37.568192,127.057175,답십리동
ST-392,37.574188,127.045891,전농동
ST-391,37.583698,127.053856,전농동
ST-390,37.577793,127.057831,전농동
ST-39,37.556812,126.943184,대현동
ST-389,37.57489,127.053535,전농동
ST-388,37.546547,127.106133,광장동
ST-387,37.54483,127.104263,광장동
ST-386,37.564293,127.086937,중곡동
ST-385,37.551849,127.088982,능동
ST-384,37.545231,127.084732,능동
ST-383,37.56538,127.08651,중곡동
ST-382,37.550396,127.075859,군자동
ST-381,37.537849,127.092171,구의동
ST-380,37.519463,126.902649,영등포동4가
ST-38,37.556004,126.942299,노고산동
ST-379,37.571255,127.079803,중곡동
ST-378,37.536579,127.092972,구의동
ST-377,37.540062,127.094498,구의동
ST-376,37.56797,127.04689,마장동
ST-375,37.543179,127.04908,성수동1가
ST-374,37.561012,127.054237,용답동
ST-373,37.554493,127.02021,금호동1가
ST-372,37.565205,127.041847,마장동
ST-371,37.54829,127.062462,송정동
ST-370,37.549583,127.030243,응봉동
ST-37,37.559227,126.939842,창천동
ST-369,37.571102,127.02356,상왕십리동
ST-368,37.54459,127.057083,성수동2가
ST-367,37.545208,127.047142,성수동1가
ST-366,37.541367,127.017761,옥수동
ST-365,37.547928,127.015572,금호동4가
ST-364,37.547913,127.062752,성수동2가
ST-363,37.559246,127.07341,송정동
ST-362,37.542816,127.04467,성수동1가
ST-361,37.551205,127.068932,송정동
ST-360,37.561096,127.036797,행당동
ST-36,37.557892,126.93808,창천동
ST-359,37.564606,127.036522,행당동
ST-358,37.567642,127.025696,상왕십리동
ST-357,37.542053,127.020401,옥수동
ST-356,37.548164,127.06237,송정동
ST-355,37.548149,127.06707,성수동2가
ST-354,37.563908,126.964973,충정로2가
ST-353,37.573921,126.958305,현저동
ST-352,37.56612,126.925896,연희동
ST-351,37.567657,126.917809,연희동
ST-350,37.577316,126.902969,북가좌동
ST-35,37.582031,126.908997,북가좌동
