상호명,주소,신주소,경도,위도
이태원 관광안내소(지하),140-863 서울 용산구 이태원동 119-23 ,"04350 서울 용산구 이태원로 지하 177 (이태원동, 6호선 이태원역) 이태원역사 내",,
이태원북스, 서울 용산구 이태원동 533 ,04345 서울 용산구 녹사평대로 208 (이태원동) ,126.987244105525,37.53625898833
이화명주,  ,06577 서울 서초구 사평대로26길 30 ,,
익선동 한옥거리, 서울 종로구 익선동 160-1 ,03133 서울 종로구 돈화문로11가길 17 (익선동) ,126.990918942394,37.5733888141636
인천공항 제2여객터미널 관광정보센터 , 인천 중구 운서동 2868 ,22382 인천 중구 제2터미널대로 444 (제2합동청사) 인천국제공항 제2여객터미널 1층 입국장,126.437520618366,37.4684322176904
창덕궁 후원 , 서울 종로구 와룡동 2-71 ,"03072 서울 종로구 율곡로 99 (와룡동, 창덕궁) ",126.991322772069,37.5827695454415
자하문터널, 서울 종로구 청운동 , 서울 종로구 청운동 ,126.969329763593,37.5891974378629
인천국제공항 제 1터미널 서울관광정보센터 (동편), 인천 중구 운서동 2851 2840 인천국제공항 1층 입국장 5번출구,22382 인천 중구 공항로 272 인천국제공항 제1여객터미널  1층 입국장 5번출구,,
인천국제공항 제 1터미널 서울관광정보센터 (서편), 인천 중구 운서동 2851 ,22382 인천 중구 공항로 272 인천국제공항 제1여객터미널  1층 입국장 10번 출구,126.452569722753,37.4478413047644
일민미술관,110-050 서울 종로구 세종로 139-8 ,"03187 서울 종로구 세종대로 152 (세종로, 일민미술관) ",,
일자산허브천문공원, 서울 강동구 둔촌동 산86 ,134-060 서울 강동구 둔촌동 산86 ,127.154246253068,37.5374114232963
잉꼬네떡볶이,  ,02060 서울 중랑구 용마산로120길 43 ,,
장희빈 우물터, 서울 서대문구 연희동 120-21 ,03702 서울 서대문구 연희로15길 74 (연희동) ,126.929203680517,37.5704518650506
전쟁기념관,140-021 서울 용산구 용산동1가 8 ,"04353 서울 용산구 이태원로 29 (용산동1가, 전쟁기념관) ",,
전태일기념관, 서울 종로구 관수동 152-1 ,"03191 서울 종로구 청계천로 105 (관수동, 전태일기념관) ",126.989288652662,37.5684793344617
절두산순교성지,121-883 서울 마포구 합정동 96-1 ,"04085 서울 마포구 토정로 6 (합정동, 한국천주교순교자박물관) ",,
정독도서관,110-210 서울 종로구 화동 2 ,03055 서울 종로구 북촌로5길 48 (정독도서관) ,,
정동1928 아트센터,100-120 서울 중구 정동 1-23 정동1928 아트센터,"04519 서울 중구 덕수궁길 130 (정동, 구세군중앙회관) 정동1928 아트센터",,
정동극장,100-120 서울 중구 정동 8-11 ,"04518 서울 중구 정동길 43 (정동, 정동극장) ",,
정동길,100-151 서울 중구 충정로1가 51-11 ,04516 서울 중구 정동길 2 (충정로1가) ,,
정동전망대, 서울 중구 서소문동 37 ,"04515 서울 중구 덕수궁길 15 (서소문동, 서울시청 서소문별관) ",126.974440618213,37.5643085958526
정동제일교회, 서울특별시 중구 정동 34,04516 서울특별시 중구 정동길 46  (정동) ,,
