대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-2599,서울특별시 송파구 충민로2길 8,,37.479534,127.126785,송파구,836.0,59.714285714285715
ST-2598,서울특별시 송파구 송파대로8길 20,,37.477783,127.132057,송파구,221.0,15.785714285714286
ST-2597,서울특별시 송파구 장지동838-2,,37.480511,127.128624,송파구,129.0,9.214285714285714
ST-2596,서울특별시 송파구 올림픽로35가길 16,,37.51614,127.103508,송파구,1316.0,94.0
ST-2595,서울특별시 송파구 오금로 20-2 구두수선대,,37.519886,127.10434,송파구,327.0,23.357142857142858
ST-2594,서울특별시 송파구 신천동15,,37.520809,127.103622,송파구,1113.0,79.5
ST-2593,서울특별시 송파구 잠실동 17,,37.516117,127.084663,송파구,845.0,60.357142857142854
ST-2592,서울특별시 송파구 방이동88-16,,37.523975,127.12751,송파구,1066.0,76.14285714285714
ST-2591,서울특별시 송파구 중대로70-2,,37.492016,127.117455,송파구,342.0,24.428571428571427
ST-2590,서울특별시 송파구 문정로 73 문정중학교,,37.488274,127.130684,송파구,64.0,4.571428571428571
ST-259,서울특별시 광진구 구의동 96,아차산역 3번출구,37.551224,127.089706,광진구,1677.0,104.8125
ST-2589,서울특별시 송파구 문정동 18-4,,37.486115,127.126671,송파구,763.0,54.5
ST-2588,서울특별시 송파구 새말로12길 16,,37.481743,127.128784,송파구,239.0,17.071428571428573
ST-2587,서울특별시 송파구 문정동 3,,37.491467,127.12664,송파구,282.0,20.142857142857142
ST-2586,서울특별시 송파구 성내천로245,,37.498089,127.154297,송파구,120.0,8.571428571428571
ST-2585,서울특별시 송파구 마천동588,,37.497631,127.159668,송파구,178.0,12.714285714285714
ST-2584,서울특별시 송파구 오금로56길 28 어울림아파트,,37.491985,127.14373,송파구,201.0,14.357142857142858
ST-2583,서울특별시 송파구 가락동 282,,37.495792,127.108116,송파구,685.0,48.92857142857143
ST-2582,서울특별시 송파구 충민로172,,37.48489,127.132706,송파구,,
ST-2581,서울특별시 송파구 문정동 72,,37.482456,127.124603,송파구,873.0,62.357142857142854
ST-2580,서울특별시 송파구 방이동88-16,,37.523575,127.128044,송파구,649.0,46.357142857142854
ST-258,서울특별시 광진구 자양동 738,자양나들목,37.52977,127.07486,광진구,1106.0,92.16666666666667
ST-2579,서울특별시 송파구 오금동43,,37.508015,127.125946,송파구,409.0,29.214285714285715
ST-2578,서울특별시 송파구 송파동166-2,,37.502235,127.117287,송파구,298.0,21.285714285714285
ST-2577,서울특별시 송파구 방이동225,,37.505852,127.121941,송파구,121.0,8.642857142857142
ST-2576,서울특별시 송파구 중대로 24 올림픽훼밀리타운,,37.488071,127.118637,송파구,597.0,42.642857142857146
ST-2575,서울특별시 송파구 중대로 149 경찰병원역,,37.499176,127.125893,송파구,285.0,20.357142857142858
ST-2574,서울특별시 송파구 올림픽로43길 88,,37.52478,127.109131,송파구,1915.0,136.78571428571428
ST-2573,서울특별시 송파구 장지동 532-8,,37.474564,127.136795,송파구,,
ST-2572,서울특별시 송파구 위례광장로 290,,37.474346,127.143265,송파구,871.0,62.214285714285715
ST-2571,서울특별시 송파구 올림픽로35길 125,,37.516338,127.099854,송파구,1673.0,119.5
ST-2570,서울특별시 서초구 양재천로 125-10 양재공영주차빌딩,,37.478539,127.041145,서초구,622.0,28.272727272727273
ST-257,서울특별시 광진구 자양동 722,잠실대교북단 교차로,37.532478,127.085091,광진구,1370.0,85.625
ST-2569,서울특별시 강서구 마곡동 769-4,,37.558632,126.835594,강서구,1495.0,74.75
ST-2568,서울특별시 강동구 아리수로93가길 110(강일동 115),,37.572018,127.172951,강동구,296.0,13.454545454545455
ST-2567,서울특별시 강동구 강일동 100,,37.572014,127.171707,강동구,290.0,13.181818181818182
ST-2566,서울특별시 중구 무교동 97-2,,37.568497,126.97905,중구,,
ST-2565,서울특별시 종로구 운니동 98-7,,37.57753,126.989128,종로구,,
ST-2564,서울특별시 영등포구 영등포구 도림로143길 27,,37.512882,126.890266,영등포구,1391.0,60.47826086956522
ST-2563,서울특별시 영등포구 영등포구 경인로77길 49,,37.513748,126.888512,영등포구,1440.0,62.608695652173914
ST-2562,서울특별시 서초구 우면동 684,,37.465591,127.021843,서초구,166.0,7.545454545454546
ST-2561,서울특별시 서대문구 서대문구 홍은동 11-7,,37.601696,126.949165,서대문구,425.0,19.318181818181817
ST-2560,서울특별시 동대문구 한천로 264 맞은편,,37.583923,127.068275,동대문구,826.0,51.625
ST-256,서울특별시 광진구 광장동 561-15,광남중학교,37.54073,127.102905,광진구,555.0,34.6875
ST-2559,서울특별시 구로구 신도림동 385-3,,37.508625,126.883537,구로구,905.0,43.095238095238095
ST-2558,서울특별시 강서구 강서로 242 강서힐스테이트,,37.546638,126.836578,강서구,782.0,39.1
ST-2557,서울특별시 강서구 강서구 화곡로 347,,37.555107,126.851547,강서구,4217.0,210.85
ST-2556,서울특별시 강서구 내발산동 755,,37.548573,126.820763,강서구,406.0,20.3
ST-2555,서울특별시 강서구 공항동 34-69,,37.560879,126.813545,강서구,1271.0,63.55
ST-2554,서울특별시 강서구 공항대로 49-2 공항신성빌딩,,37.56131,126.813072,강서구,,
ST-2553,서울특별시 강서구 염창동 119,,37.551952,126.876709,강서구,1270.0,63.5
ST-2552,서울특별시 강서구 양천로 400-12 더리브골드타워,,37.565571,126.846245,강서구,774.0,38.7
