대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-2224,서울특별시 성북구 성북동 176-11,,37.591095,127.003777,성북구,,
ST-2223,서울특별시 성북구 석관동 375-97,,37.614784,127.067001,성북구,5536.0,212.92307692307693
ST-2222,서울특별시 성북구 하월곡동 96-248,,37.601086,127.041237,성북구,192.0,96.0
ST-2221,서울특별시 성북구 길음동 1280-5,,37.609295,127.018478,성북구,94.0,11.75
ST-2220,서울특별시 성북구 길음로 119 길음뉴타운,,37.61219,127.01622,성북구,,
ST-222,서울특별시 서대문구 북가좌동 470-1,모래내 우체국,37.575138,126.91394,서대문구,2778.0,111.12
ST-2219,서울특별시 서대문구 서소문로 45 SK리쳄블,,37.561317,126.966583,서대문구,856.0,34.24
ST-2218,서울특별시 서대문구 신촌로 185-2,,37.557114,126.948814,서대문구,,
ST-2217,서울특별시 서대문구 홍제동 295-33,,37.591862,126.944214,서대문구,1848.0,73.92
ST-2216,서울특별시 서대문구 남가좌동 385-7,,37.572159,126.921188,서대문구,2742.0,109.68
ST-2215,서울특별시 서대문구 남가좌동 385-16,,37.574551,126.918266,서대문구,1820.0,72.8
ST-2214,서울특별시 서대문구 수색로 100 DMC래미안e편한세상,,37.576263,126.911324,서대문구,1610.0,64.4
ST-2213,서울특별시 서대문구 홍은동 274-18,,37.581318,126.935997,서대문구,4494.0,179.76
ST-2212,서울특별시 서대문구 홍은동 424-1,,37.583336,126.936287,서대문구,1704.0,68.16
ST-2211,서울특별시 서대문구 남가좌동 3-91,,37.583344,126.922745,서대문구,424.0,16.96
ST-2210,서울특별시 서대문구 연희동 747-3,,37.575642,126.927826,서대문구,3158.0,126.32
ST-221,서울특별시 서대문구 북가좌동 477-1,북가좌1동 주민센터,37.574478,126.910049,서대문구,1076.0,43.04
ST-2209,서울특별시 서대문구 남가좌동 388-3,,37.578121,126.921753,서대문구,,
ST-2208,서울특별시 서대문구 남가좌동 385-13,,37.572254,126.9151,서대문구,2364.0,94.56
ST-2207,서울특별시 서대문구 북가좌동 474-2,,37.574284,126.906464,서대문구,1830.0,73.2
ST-2206,서울특별시 서대문구 북가좌동 487-1,,37.570652,126.912987,서대문구,2742.0,109.68
ST-2205,서울특별시 서대문구 남가좌동 105-4,,37.569836,126.918091,서대문구,3546.0,141.84
ST-2204,서울특별시 서대문구 연희로 78 SK삼보주유소,,37.565197,126.929855,서대문구,4048.0,161.92
ST-2203,서울특별시 서대문구 신촌동 116-63,,37.560265,126.936455,서대문구,,
ST-2202,서울특별시 서대문구 성산로 520 이화여자대학교 부속 중학교,,37.564068,126.945328,서대문구,760.0,30.4
ST-2201,서울특별시 서대문구 신촌로 103-2,,37.555504,126.937202,서대문구,1354.0,54.16
ST-2200,서울특별시 서대문구 북아현동 1016-2,,37.561455,126.95575,서대문구,1966.0,78.64
